ID	periodo	temp	tipo 
649	0.0005	15	inspecionando
650	0.0001	14	inspecionando
651	0.0002	13	inspecionando
653	0.0013	18	inspecionando
654	0.0002	18	inspecionando
655	0.0017	19	inspecionando
656	0.0010	19	inspecionando
657	0.0017	19	inspecionando
660	0.0016	9	inspecionando
661	0.0006	13	inspecionando
662	0.0006	13	inspecionando
663	0.0019	18	inspecionando
664	0.0000	17	inspecionando
665	0.0005	18	inspecionando
668	0.0005	20	inspecionando
671	0.0020	16	inspecionando
672	0.0002	15	inspecionando
677	0.0010	15	inspecionando
714	0.0003	21	inspecionando
717	0.0015	26	inspecionando
728	0.0010	19	inspecionando
729	0.0005	29	inspecionando
734	0.0016	23	inspecionando
735	0.0026	22	inspecionando
745	0.0001	21	inspecionando
746	0.0009	23	inspecionando
747	0.0005	24	inspecionando
748	0.0005	26	inspecionando
749	0.0005	22	inspecionando
750	0.0008	25	inspecionando
751	0.0006	25	inspecionando
752	0.0003	25	inspecionando
753	0.0000	24	inspecionando
754	0.0003	26	inspecionando
757	0.0001	15	inspecionando
758	0.0000	15	inspecionando
759	0.0004	19	inspecionando
762	0.0014	14	inspecionando
763	0.0001	23	inspecionando
764	0.0009	11	inspecionando
765	0.0011	1	inspecionando
768	0.0033	15	inspecionando
770	0.0004	19	inspecionando
781	0.0002	21	inspecionando
782	0.0004	28	inspecionando
784	0.0000	22	inspecionando
785	0.0000	22	inspecionando
794	0.0001	20	inspecionando
796	0.0006	21	inspecionando
797	0.0002	21	inspecionando
798	0.0022	25	inspecionando
806	0.0003	20	inspecionando
807	0.0003	19	inspecionando
810	0.0010	15	inspecionando
814	0.0008	30	inspecionando
815	0.0001	15	inspecionando
836	0.0008	15	inspecionando
837	0.0009	19	inspecionando
844	0.0000	23	inspecionando
845	0.0003	17	inspecionando
849	0.0003	20	inspecionando
851	0.0012	15	inspecionando
854	0.0001	17	inspecionando
863	0.0003	20	inspecionando
864	0.0026	24	inspecionando
866	0.0005	24	inspecionando
869	0.0005	21	inspecionando
880	0.0018	20	inspecionando
885	0.0000	34	inspecionando
891	0.0008	28	inspecionando
898	0.0012	24	inspecionando
905	0.0000	22	inspecionando
906	0.0002	24	inspecionando
908	0.0012	23	inspecionando
918	0.0007	19	inspecionando
